	gene_name	PD_2	PD_4	PD_12	Control_3	Control_7	Control_11
ENSG00000120992	MDM2	195	251	252	306	258	264
ENSG00000011009	MDM4	306	405	361	337	302	317
ENSG00000269153	MDN1	301	753	690	574	510	251
ENSG00000143353	MDP1	23	51	95	45	70	2
ENSG00000228536	MDS2	2	2	0	0	0	0
ENSG00000102897	ME1	982	1365	1738	1716	2071	690
ENSG00000083099	ME2	645	1328	1864	1496	1975	606
ENSG00000214113	ME3	449	614	514	618	818	199
None	MEA1	1047	2252	2864	1929	2758	707
ENSG00000186687	MEAF6	1746	3713	4995	4492	4618	1954
ENSG00000232859	MEAT6	1	29	11	5	1	0
ENSG00000163155	MECOM	24	2	11	41	9	0
ENSG00000140280	MECP2	787	1130	1267	1434	1405	1223
ENSG00000176018	MECR	255	889	565	786	1108	283
ENSG00000183060	MED1	118	168	206	217	316	237
ENSG00000143669	MED10	678	2153	3126	2414	2941	940
ENSG00000133800	MED11	130	436	505	477	513	158
ENSG00000090382	MED12	108	115	74	154	134	98
ENSG00000120563	MED12L	170	260	241	261	243	125
ENSG00000151033	MED13	406	513	791	574	712	420
ENSG00000157093	MED13L	174	213	293	275	228	229
ENSG00000275722	MED14	101	236	352	173	202	82
ENSG00000162441	MED14OS	18	37	45	10	24	9
ENSG00000163818	MED15	405	556	621	822	865	888
ENSG00000099949	MED15P9	0	4	5	2	0	1
ENSG00000061337	MED16	82	287	211	339	249	189
ENSG00000253733	MED17	99	142	300	161	203	74
ENSG00000107816	MED18	17	54	98	81	113	43
ENSG00000088899	MED19	201	714	951	745	943	311
ENSG00000159374	MED20	76	69	189	53	58	34
ENSG00000003056	MED21	194	613	672	516	672	172
None	MED22	110	152	152	225	158	112
ENSG00000180660	MED23	131	310	204	341	326	212
ENSG00000181541	MED24	264	373	432	575	372	299
ENSG00000173212	MED25	58	120	214	179	150	102
ENSG00000183742	MED26	51	74	167	154	144	74
ENSG00000228598	MED27	91	156	155	159	161	59
ENSG00000127603	MED28	195	376	489	502	631	228
ENSG00000133315	MED29	1011	1841	3234	2708	3093	813
ENSG00000172264	MED30	135	120	178	240	248	11
ENSG00000235914	MED31	545	1408	1578	1483	2002	475
ENSG00000227927	MED4	580	1520	1842	1761	2257	850
ENSG00000002822	MED4-AS1	65	269	257	286	425	97
ENSG00000164109	MED6	262	738	638	617	884	245
ENSG00000124688	MED7	160	482	962	683	927	232
ENSG00000116670	MED8	297	565	649	560	870	140
ENSG00000099866	MED9	118	198	339	228	339	137
ENSG00000110514	MEDAG	3	0	5	1	0	5
ENSG00000090316	MEF2A	521	1013	1069	1167	1103	1264
ENSG00000143194	MEF2B	0	0	0	0	0	0
ENSG00000178573	MEF2BNB	888	1625	2202	1714	2002	1144
ENSG00000179632	MEF2BNB-MEF2B	0	0	0	0	0	0
ENSG00000182759	MEF2C	58	65	178	23	104	39
ENSG00000254338	MEF2C-AS1	8	0	0	0	7	2
ENSG00000204103	MEF2D	357	521	645	761	519	757
ENSG00000185022	MEFV	4	2	0	0	2	0
ENSG00000197063	MEG3	7755	12963	20108	18962	29950	8391
ENSG00000264769	MEG8	4	3	27	12	14	5
None	MEG9	24	56	62	51	91	60
ENSG00000198517	MEGF10	119	187	75	69	109	78
ENSG00000261390	MEGF11	22	16	65	34	56	2
ENSG00000105695	MEGF6	17	5	0	0	7	29
ENSG00000198681	MEGF8	306	691	672	745	781	489
ENSG00000124260	MEGF9	1366	2469	2735	2669	2773	1757
None	MEI1	5	1	0	0	4	3
ENSG00000185247	MEI4	4	0	27	7	0	2
ENSG00000213401	MEIG1	27	2	36	11	16	3
ENSG00000183305	MEIKIN	3	0	2	3	1	5
ENSG00000268606	MEIOB	10	66	44	21	25	6
ENSG00000183305	MEIS1	80	17	95	26	63	38
ENSG00000197172	MEIS1-AS2	0	4	2	1	4	0
ENSG00000221867	MEIS1-AS3	1	0	0	0	5	1
ENSG00000147381	MEIS2	34	17	15	0	13	4
None	MEIS3	25	48	7	55	36	14
ENSG00000197172	MEIS3P1	154	297	262	184	308	263
ENSG00000221867	MELK	3	11	6	1	12	5
