	gene_name	PD_2	PD_4	PD_12	Control_3	Control_7	Control_11
ENSG00000121410	A1BG	99	153	471	224	70	102
ENSG00000268895	A1BG-AS1	20	62	65	32	21	27
ENSG00000148584	A1CF	9	8	8	0	6	13
ENSG00000175899	A2M	337	128	464	115	281	116
ENSG00000245105	A2M-AS1	38	64	27	33	63	34
ENSG00000166535	A2ML1	22	12	4	18	6	13
ENSG00000256069	A2MP1	17	0	14	0	5	1
ENSG00000291190	A3GALT2	0	0	0	0	0	0
ENSG00000184389	A4GALT	3	19	14	5	11	0
ENSG00000128274	A4GNT	2	1	0	3	0	0
ENSG00000118017	AA06	0	0	3	0	0	0
ENSG00000265544	AAAS	89	120	265	187	292	87
ENSG00000094914	AACS	256	676	377	551	555	367
ENSG00000081760	AACSP1	4	2	0	2	0	0
ENSG00000250420	AADAC	2	0	4	0	0	0
ENSG00000291019	AADACL2	0	0	0	0	0	0
ENSG00000114771	AADACL2-AS1	2	0	0	0	0	0
ENSG00000197953	AADACL3	4	0	0	0	0	0
ENSG00000242908	AADACL4	1	0	0	0	0	1
ENSG00000188984	AADACP1	3	6	2	1	1	0
ENSG00000204518	AADAT	135	95	123	141	187	127
ENSG00000240602	AAED1	41	77	41	62	122	46
ENSG00000291076	AAGAB	417	783	1330	1140	1128	702
ENSG00000109576	AAK1	2528	4313	4828	5024	4708	3155
None	AAMDC	123	208	273	188	175	8
ENSG00000103591	AAMP	263	792	959	774	1010	279
ENSG00000115977	AANAT	2	11	10	14	15	2
ENSG00000087884	AAR2	41	160	210	168	141	93
ENSG00000127837	AARD	41	72	48	122	228	72
ENSG00000129673	AARS	810	1924	1648	2148	1961	698
ENSG00000131043	AARS2	52	123	158	112	137	78
ENSG00000205002	AARSD1	5	0	5	1	1	0
None	AASDH	137	277	239	181	270	66
ENSG00000124608	AASDHPPT	2163	3290	4179	2937	4573	1554
ENSG00000108825	AASS	189	68	197	86	125	117
ENSG00000266967	AATBC	5	1	0	1	1	0
ENSG00000157426	AATF	265	393	420	306	262	150
ENSG00000149313	AATK	213	296	402	337	344	409
ENSG00000008311	AATK-AS1	0	0	0	0	1	0
ENSG00000215458	ABALON	40	73	168	106	119	54
ENSG00000275700	ABAT	2468	3454	4973	3800	4143	2995
ENSG00000181409	ABCA1	369	435	556	152	255	101
None	ABCA10	49	136	145	183	143	67
ENSG00000281376	ABCA11P	21	33	190	97	127	26
ENSG00000183044	ABCA12	9	23	6	4	0	7
ENSG00000165029	ABCA13	16	23	3	5	3	14
ENSG00000154263	ABCA17P	37	41	102	68	57	10
ENSG00000251595	ABCA2	344	637	566	559	540	482
ENSG00000293360	ABCA3	661	1104	1405	1478	1439	986
ENSG00000144452	ABCA4	12	4	1	1	1	0
ENSG00000179869	ABCA5	1383	2433	2947	3289	3760	1601
ENSG00000238098	ABCA6	54	116	149	72	144	86
ENSG00000293423	ABCA7	192	281	322	300	256	321
ENSG00000107331	ABCA8	265	92	105	61	76	124
ENSG00000167972	ABCA9	74	142	117	129	162	79
ENSG00000198691	ABCA9-AS1	1	0	4	0	0	0
ENSG00000154265	ABCB1	82	44	41	15	25	26
ENSG00000154262	ABCB10	183	253	374	226	216	127
ENSG00000064687	ABCB11	11	9	3	0	1	5
ENSG00000141338	ABCB4	11	0	4	9	0	1
ENSG00000154258	ABCB5	11	5	7	2	1	9
ENSG00000231749	ABCB6	314	440	601	549	407	237
ENSG00000085563	ABCB7	39	144	171	91	187	76
ENSG00000135776	ABCB8	91	130	250	210	311	137
ENSG00000073734	ABCB9	83	140	86	239	228	178
ENSG00000005471	ABCC1	172	265	283	369	202	228
ENSG00000004846	ABCC10	48	132	48	93	65	26
ENSG00000115657	ABCC11	6	13	9	0	4	0
ENSG00000131269	ABCC12	10	4	2	1	0	0
ENSG00000197150	ABCC13	4	6	4	0	2	2
ENSG00000150967	ABCC2	4	0	1	3	0	1
ENSG00000103222	ABCC3	21	30	3	1	0	10
ENSG00000124574	ABCC4	37	67	68	83	116	45
ENSG00000121270	ABCC5	865	1591	1472	1383	1389	938
ENSG00000140798	ABCC5-AS1	0	0	1	1	0	0
ENSG00000243064	ABCC6	29	6	10	8	11	6
ENSG00000291052	ABCC6P1	1	0	0	2	1	0
ENSG00000023839	ABCC6P2	1	1	1	1	0	1
ENSG00000108846	ABCC8	94	144	305	95	101	79
ENSG00000125257	ABCC9	58	12	81	3	0	41
ENSG00000114770	ABCD1	6	7	21	14	13	0
ENSG00000223882	ABCD2	121	230	176	235	282	163
ENSG00000091262	ABCD3	817	1077	1397	1260	1575	873
ENSG00000256340	ABCD4	72	236	246	200	204	69
ENSG00000291057	ABCE1	611	915	1491	1043	1447	416
ENSG00000255277	ABCF1	383	1161	1011	1020	1247	525
ENSG00000290943	ABCF2	381	800	607	868	984	414
ENSG00000006071	ABCF3	295	849	608	859	913	213
ENSG00000069431	ABCG1	120	243	246	383	361	189
ENSG00000101986	ABCG2	127	106	97	57	54	7
ENSG00000173208	ABCG4	202	363	437	626	468	362
ENSG00000117528	ABCG5	7	4	0	6	13	14
ENSG00000119688	ABCG8	9	0	2	4	7	1
ENSG00000164163	ABHD1	55	52	30	50	18	22
ENSG00000204574	ABHD10	754	1227	1531	1491	1941	930
ENSG00000033050	ABHD11	76	358	371	427	345	162
ENSG00000285292	ABHD11-AS1	0	0	0	3	0	0
ENSG00000161204	ABHD12	640	1182	1390	1815	1891	987
ENSG00000160179	ABHD12B	23	66	147	66	82	17
ENSG00000118777	ABHD13	98	353	311	398	542	138
ENSG00000172350	ABHD14A	473	1196	1578	1017	1687	225
ENSG00000138075	ABHD14A-ACY1	0	0	0	0	0	0
ENSG00000143921	ABHD14B	69	63	117	41	87	49
ENSG00000143994	ABHD15	9	32	34	4	26	1
ENSG00000144827	ABHD16A	511	1286	1125	1117	1412	517
ENSG00000106077	ABHD16B	22	5	16	45	20	50
None	ABHD17A	13	23	41	53	29	29
ENSG00000100997	ABHD17B	206	568	460	539	551	255
ENSG00000131969	ABHD17C	147	172	224	147	179	87
ENSG00000139826	ABHD2	1101	1450	1497	2446	2388	1403
ENSG00000248487	ABHD3	417	430	454	638	873	276
ENSG00000114786	ABHD4	57	78	140	73	105	27
ENSG00000114779	ABHD5	207	236	328	273	442	141
ENSG00000168792	ABHD6	177	280	359	353	349	126
ENSG00000204427	ABHD8	152	329	265	258	296	154
ENSG00000183260	ABI1	545	674	871	949	1125	356
ENSG00000129968	ABI2	1085	2172	2109	2149	2686	1291
ENSG00000107362	ABI3	4	12	13	4	10	0
ENSG00000136379	ABI3BP	27	1	46	11	28	3
ENSG00000140526	ABL1	146	238	193	129	169	189
ENSG00000158201	ABL2	268	435	532	484	583	513
ENSG00000100439	ABLIM1	814	1177	1742	1569	2286	658
ENSG00000011198	ABLIM2	492	620	532	763	460	507
ENSG00000163686	ABLIM3	237	269	433	367	271	308
ENSG00000127220	ABO	2	8	1	12	1	3
ENSG00000136754	ABR	994	1856	2283	1745	1610	2045
ENSG00000138443	ABRA	3	2	1	2	0	2
ENSG00000108798	ABRACL	44	122	246	44	68	61
ENSG00000154175	ABT1	103	227	411	382	379	118
ENSG00000097007	ABTB1	74	179	187	175	171	118
ENSG00000143322	ABTB2	73	45	32	37	9	37
ENSG00000099204	ACAA1	674	1071	2005	1250	1860	468
ENSG00000163995	ACAA2	86	56	175	33	79	10
ENSG00000173210	ACACA	512	1229	1099	1400	1549	598
ENSG00000175164	ACACB	66	71	14	0	9	30
ENSG00000159842	ACAD10	105	111	142	107	94	44
ENSG00000174429	ACAD11	2	0	1	0	4	0
ENSG00000146386	ACAD8	168	250	340	295	341	50
ENSG00000146109	ACAD9	224	505	551	710	634	280
ENSG00000114626	ACADL	12	3	5	22	1	1
ENSG00000166016	ACADM	1027	2545	3276	2123	3931	383
ENSG00000060971	ACADS	49	62	41	52	35	53
ENSG00000167315	ACADSB	415	657	871	697	958	313
ENSG00000278540	ACADVL	1185	1814	1923	1980	2008	836
ENSG00000076555	ACAN	5	3	2	2	0	7
ENSG00000111271	ACAP1	82	148	188	230	161	50
ENSG00000240303	ACAP2	295	656	768	537	861	376
ENSG00000151498	ACAP3	81	180	206	215	182	195
ENSG00000177646	ACAT1	813	1534	1946	1487	2201	341
ENSG00000115361	ACAT2	864	1571	1806	1939	2229	592
ENSG00000117054	ACBD3	531	1057	1410	1279	1665	505
ENSG00000122971	ACBD4	17	24	31	65	53	20
ENSG00000196177	ACBD5	543	841	1416	1035	1173	636
ENSG00000072778	ACBD6	155	482	541	506	740	145
ENSG00000157766	ACBD7	159	92	132	47	52	52
ENSG00000072818	ACCS	10	27	51	9	16	15
ENSG00000114331	ACCSL	2	1	1	0	1	2
ENSG00000131584	ACD	107	297	268	285	208	90
ENSG00000075239	ACE	15	31	24	20	18	27
ENSG00000120437	ACE2	6	4	6	2	8	4
ENSG00000182827	ACER1	2	3	0	0	0	0
ENSG00000181513	ACER2	2	10	11	9	2	7
ENSG00000107897	ACER3	759	1021	1393	1664	1976	800
ENSG00000230124	ACHE	1419	3220	3289	3522	3914	1099
ENSG00000176244	ACIN1	221	459	663	460	579	399
ENSG00000110455	ACKR1	109	129	179	122	179	119
ENSG00000205126	ACKR2	3	6	4	0	7	4
ENSG00000102977	ACKR3	38	4	2	8	5	2
ENSG00000159640	ACKR4	0	0	2	1	0	0
ENSG00000130234	ACLY	2412	2720	3997	4480	6008	2161
ENSG00000167769	ACMSD	1	6	1	4	3	0
ENSG00000177076	ACO1	271	384	696	508	629	183
ENSG00000078124	ACO2	1615	2714	3419	3539	3666	1820
ENSG00000087085	ACOT1	20	28	6	6	27	10
ENSG00000100813	ACOT11	8	1	0	12	0	4
ENSG00000213088	ACOT12	4	16	0	2	2	2
ENSG00000144648	ACOT13	1128	2404	3260	3179	4121	1141
ENSG00000144476	ACOT2	66	56	64	87	88	44
ENSG00000129048	ACOT4	30	36	65	22	42	38
ENSG00000131473	ACOT6	2	7	3	11	16	4
ENSG00000153086	ACOT7	4023	8897	8706	9975	13197	2622
ENSG00000122729	ACOT8	459	1276	2285	1564	1901	459
ENSG00000100412	ACOT9	85	148	162	263	327	84
ENSG00000184227	ACOX1	270	454	458	458	447	297
ENSG00000162390	ACOX2	4	21	0	13	6	15
ENSG00000172497	ACOX3	23	139	68	146	123	101
ENSG00000112304	ACOXL	3	2	3	0	0	0
ENSG00000119673	ACP1	754	2368	2849	2508	2980	738
ENSG00000177465	ACP2	190	411	461	396	508	163
ENSG00000205669	ACP5	2	6	39	0	0	2
ENSG00000097021	ACP6	48	6	86	34	24	43
ENSG00000101473	ACPP	3	2	1	0	4	6
ENSG00000123130	ACPT	0	0	0	0	3	0
ENSG00000161533	ACR	0	0	0	0	0	0
ENSG00000168306	ACRBP	0	1	0	0	4	0
ENSG00000087008	ACRC	10	104	16	8	41	18
ENSG00000153093	ACRV1	28	9	13	24	54	6
ENSG00000143727	ACSBG1	114	138	105	97	42	25
ENSG00000134575	ACSBG2	6	1	0	2	3	0
ENSG00000102575	ACSF2	30	5	9	0	2	14
ENSG00000162836	ACSF3	81	109	126	179	158	110
None	ACSL1	397	348	183	215	374	162
None	ACSL3	1296	2644	2993	2898	3954	1180
ENSG00000100312	ACSL4	1952	3051	3755	3747	4433	2270
ENSG00000111644	ACSL5	85	39	25	25	24	35
None	ACSL6	1282	1957	2405	2414	2673	1234
ENSG00000134940	ACSM1	1	24	0	0	0	13
ENSG00000103740	ACSM2A	0	0	2	0	1	3
ENSG00000130377	ACSM2B	0	0	2	0	0	1
ENSG00000167107	ACSM3	27	19	16	35	59	35
ENSG00000176715	ACSM4	1	2	0	0	0	6
ENSG00000151726	ACSM5	19	11	9	0	7	28
ENSG00000123983	ACSM6	3	7	5	1	1	0
ENSG00000068366	ACSS1	31	75	28	43	37	13
ENSG00000197142	ACSS2	264	457	296	491	674	254
ENSG00000164398	ACSS3	30	0	8	5	3	1
ENSG00000166743	ACTA1	48	86	92	185	23	22
ENSG00000183747	ACTA2	57	21	6	5	9	0
ENSG00000066813	ACTA2-AS1	13	7	9	2	2	0
ENSG00000005187	ACTB	5832	9608	14205	10447	13578	3545
ENSG00000215009	ACTBL2	0	0	4	0	1	1
ENSG00000183549	ACTC1	80	92	192	77	177	35
ENSG00000173124	ACTG1	8823	19781	27515	25583	30943	9505
ENSG00000154930	ACTG1P17	1	5	7	7	6	0
ENSG00000131069	ACTG1P20	36	120	193	146	180	20
ENSG00000111058	ACTG1P4	2	16	17	14	31	2
ENSG00000143632	ACTG2	2	0	2	0	2	5
ENSG00000107796	ACTL10	2	3	0	0	0	0
ENSG00000180139	ACTL6A	68	78	140	163	144	71
ENSG00000075624	ACTL6B	227	435	690	643	650	191
ENSG00000169067	ACTL7A	2	0	0	0	0	1
ENSG00000159251	ACTL7B	1	0	2	0	0	1
ENSG00000184009	ACTL8	2	2	0	0	0	0
ENSG00000259315	ACTL9	3	0	0	0	0	0
ENSG00000293222	ACTN1	272	376	564	455	367	200
ENSG00000241547	ACTN1-AS1	0	0	0	0	1	3
ENSG00000236085	ACTN2	113	188	68	34	42	47
ENSG00000163017	ACTN3	2	2	5	3	1	0
ENSG00000288649	ACTN4	334	387	327	447	315	359
ENSG00000136518	ACTR10	2547	5173	6340	6715	8503	2735
ENSG00000077080	ACTR1A	1516	3293	3757	3531	3945	2228
ENSG00000187003	ACTR1B	262	602	648	581	540	592
ENSG00000148156	ACTR2	1822	3712	3874	3900	4923	1964
ENSG00000117148	ACTR3	773	1462	2275	2208	2707	874
ENSG00000181786	ACTR3B	201	276	432	332	327	149
ENSG00000072110	ACTR3BP2	0	0	4	0	0	0
None	ACTR3BP5	0	0	0	0	0	0
ENSG00000077522	ACTR3C	36	54	58	32	71	19
ENSG00000248746	ACTR5	54	65	26	43	55	29
ENSG00000130402	ACTR6	615	1763	2709	2165	3127	859
ENSG00000131966	ACTR8	120	291	358	422	474	130
ENSG00000138107	ACTRT1	1	0	0	0	0	0
ENSG00000115073	ACTRT2	0	0	0	0	0	0
ENSG00000138071	ACTRT3	51	13	63	29	50	16
ENSG00000115091	ACVR1	161	152	395	366	625	276
ENSG00000133627	ACVR1B	355	696	582	894	866	821
ENSG00000226481	ACVR1C	124	74	209	79	68	95
ENSG00000280263	ACVR2A	243	325	556	394	424	139
ENSG00000227264	ACVR2B	127	231	343	175	243	187
ENSG00000106526	ACVR2B-AS1	1	0	7	0	6	0
ENSG00000303938	ACVRL1	7	13	0	2	17	20
ENSG00000101442	ACY1	0	1	0	0	0	0
ENSG00000075089	ACY3	1	2	1	0	0	0
ENSG00000113812	ACYP1	684	1525	2278	2133	2522	562
ENSG00000123165	ACYP2	2319	3710	4436	4240	6540	1021
ENSG00000169717	ADA	8	2	0	7	0	7
ENSG00000184378	ADAD1	6	1	0	1	1	0
ENSG00000115170	ADAD2	3	0	1	0	0	0
ENSG00000135503	ADAL	215	605	814	494	629	312
ENSG00000123612	ADAM10	270	342	553	332	363	282
ENSG00000121989	ADAM11	94	95	167	126	42	124
ENSG00000114739	ADAM12	30	19	14	8	26	9
ENSG00000229589	ADAM15	56	101	129	141	135	81
ENSG00000139567	ADAM17	75	113	151	79	88	56
ENSG00000243989	ADAM18	0	21	1	2	21	0
ENSG00000132744	ADAM19	20	19	42	25	28	29
ENSG00000119640	ADAM1A	18	15	21	9	1	0
ENSG00000170634	ADAM2	0	0	3	3	2	0
ENSG00000196839	ADAM20	1	16	22	2	12	15
ENSG00000164113	ADAM20P1	9	8	3	5	16	5
ENSG00000140955	ADAM21	0	32	23	4	6	0
ENSG00000168803	ADAM21P1	2	0	2	1	0	6
ENSG00000137845	ADAM22	1326	2014	2286	1837	1794	1180
ENSG00000073670	ADAM23	1344	2721	3361	3071	3660	1915
ENSG00000148848	ADAM28	60	6	179	17	21	1
ENSG00000143537	ADAM29	7	1	2	13	10	0
ENSG00000151694	ADAM30	1	0	0	3	0	0
ENSG00000168619	ADAM32	40	24	7	43	41	27
ENSG00000135074	ADAM33	0	7	0	17	3	11
ENSG00000229186	ADAM3A	3	0	0	0	0	0
ENSG00000104755	ADAM5	1	0	0	6	2	0
ENSG00000134007	ADAM6	1	4	0	0	0	0
ENSG00000259158	ADAM7	16	12	5	3	2	0
ENSG00000290783	ADAM8	9	14	4	7	1	1
ENSG00000139985	ADAM9	406	448	641	722	993	254
ENSG00000235812	ADAMDEC1	19	4	20	33	13	5
ENSG00000293335	ADAMTS1	150	18	1	29	165	15
ENSG00000008277	ADAMTS10	16	22	19	38	18	18
ENSG00000114948	ADAMTS12	17	29	48	6	3	0
ENSG00000042980	ADAMTS13	11	43	78	20	31	34
ENSG00000168594	ADAMTS14	4	0	1	1	0	1
ENSG00000134249	ADAMTS15	3	3	0	0	0	3
ENSG00000197140	ADAMTS16	2	2	0	2	5	1
ENSG00000149451	ADAMTS17	11	15	2	24	17	4
ENSG00000197475	ADAMTS18	27	6	26	0	13	13
ENSG00000293380	ADAMTS19	15	45	32	24	48	3
ENSG00000196115	ADAMTS19-AS1	0	0	0	0	2	0
ENSG00000271968	ADAMTS2	21	43	22	57	23	43
ENSG00000290844	ADAMTS20	11	1	4	0	1	6
ENSG00000069206	ADAMTS3	11	1	8	0	7	3
ENSG00000151651	ADAMTS4	73	7	91	48	43	51
ENSG00000168615	ADAMTS5	140	73	0	32	4	16
ENSG00000134028	ADAMTS6	15	9	6	0	33	0
ENSG00000154734	ADAMTS7	1	2	0	0	0	8
ENSG00000142303	ADAMTS7P1	11	32	26	4	30	4
ENSG00000151388	ADAMTS8	11	7	16	0	0	19
ENSG00000160323	ADAMTS9	79	7	19	8	48	19
ENSG00000138316	ADAMTS9-AS1	8	6	8	2	3	11
ENSG00000166106	ADAMTS9-AS2	2	1	0	0	0	3
ENSG00000145536	ADAMTSL1	13	0	4	1	1	2
ENSG00000140470	ADAMTSL2	11	73	49	86	68	36
ENSG00000140873	ADAMTSL3	19	53	0	6	13	4
ENSG00000145808	ADAMTSL4	9	0	4	0	3	0
ENSG00000249421	ADAMTSL4-AS1	4	0	0	0	2	2
ENSG00000087116	ADAMTSL5	24	16	7	26	18	21
ENSG00000173157	ADAP1	217	391	537	511	583	525
ENSG00000156140	ADAP2	59	7	17	25	28	86
ENSG00000158859	ADAR	1438	2699	3277	3014	3251	2239
ENSG00000154736	ADARB1	440	730	716	937	1131	600
ENSG00000049192	ADARB2	320	498	461	717	670	696
ENSG00000136378	ADARB2-AS1	44	82	187	149	247	26
ENSG00000274376	ADAT1	54	106	88	140	149	48
ENSG00000134917	ADAT2	40	139	171	158	151	78
ENSG00000163638	ADAT3	7	20	1	18	33	2
ENSG00000241158	ADCK1	133	137	320	175	228	56
ENSG00000241684	ADCK2	247	330	479	566	419	117
ENSG00000178031	ADCK3	210	395	600	487	308	290
ENSG00000197859	ADCK4	58	73	135	91	57	107
ENSG00000156218	ADCK5	39	77	45	106	137	55
ENSG00000143382	ADCY1	370	705	278	459	293	618
ENSG00000143384	ADCY10	8	1	5	11	1	0
ENSG00000203804	ADCY10P1	15	38	21	39	8	4
ENSG00000185761	ADCY2	1317	2164	1171	2488	2519	1763
ENSG00000105963	ADCY3	369	684	560	881	778	484
ENSG00000184060	ADCY4	7	3	0	0	3	8
ENSG00000160710	ADCY5	401	831	757	1010	951	697
ENSG00000197381	ADCY6	77	117	156	117	143	125
ENSG00000185736	ADCY7	302	380	180	432	439	218
ENSG00000205696	ADCY8	100	71	97	22	42	108
ENSG00000065457	ADCY9	183	244	211	194	222	242
ENSG00000189007	ADCYAP1	140	153	397	46	15	17
ENSG00000213638	ADCYAP1R1	589	809	650	719	728	705
ENSG00000063761	ADD1	1674	2625	3380	3736	3175	2347
ENSG00000133597	ADD2	120	338	409	393	336	239
None	ADD3	1042	942	1558	806	603	611
None	ADD3-AS1	0	7	22	15	3	1
ENSG00000173137	ADGB	9	3	5	0	2	5
ENSG00000164742	ADGRA1	315	722	588	552	478	382
ENSG00000143199	ADGRA1-AS1	6	29	28	40	30	38
ENSG00000161912	ADGRA2	56	111	76	117	107	117
ENSG00000290554	ADGRA3	77	87	195	48	48	9
ENSG00000078295	ADGRB1	263	442	445	478	372	520
ENSG00000138031	ADGRB2	215	397	560	575	504	427
ENSG00000129467	ADGRB3	624	1055	988	1812	1888	755
ENSG00000173175	ADGRD1	10	13	1	7	4	0
ENSG00000174233	ADGRE1	0	2	4	8	0	1
ENSG00000121281	ADGRE2	19	2	2	3	6	10
ENSG00000155897	ADGRE3	0	15	0	0	0	0
ENSG00000162104	ADGRE4P	1	0	3	0	1	0
ENSG00000141433	ADGRE5	27	72	25	5	11	10
ENSG00000078549	ADGRF1	9	0	1	0	0	0
ENSG00000087274	ADGRF2	3	2	5	1	0	3
ENSG00000075340	ADGRF3	2	0	10	6	2	0
ENSG00000148700	ADGRF4	3	3	8	2	0	3
ENSG00000203876	ADGRF5	54	20	78	24	16	26
ENSG00000118492	ADGRG1	157	187	82	161	144	143
ENSG00000197177	ADGRG2	4	3	4	0	2	13
ENSG00000256925	ADGRG3	10	2	0	0	0	1
ENSG00000020181	ADGRG4	13	1	0	2	0	2
ENSG00000152990	ADGRG5	1	1	6	1	1	0
ENSG00000181790	ADGRG6	4	3	2	0	0	2
ENSG00000121753	ADGRG7	4	0	1	0	0	4
ENSG00000135298	ADGRL1	630	881	1012	1240	1023	1239
ENSG00000111452	ADGRL2	363	915	662	467	558	295
ENSG00000174837	ADGRL3	753	1512	1426	1452	1359	721
ENSG00000127507	ADGRL3-AS1	27	33	32	31	17	12
ENSG00000131355	ADGRL4	89	11	7	9	56	33
ENSG00000268758	ADGRV1	333	629	456	549	413	154
ENSG00000123146	ADH1A	7	0	3	1	0	5
ENSG00000153292	ADH1B	0	6	2	1	0	0
None	ADH1C	2	0	1	1	1	3
ENSG00000173567	ADH4	0	0	0	0	1	0
ENSG00000153294	ADH5	1333	2074	2532	2076	2785	1392
ENSG00000069122	ADH6	3	1	2	1	0	0
ENSG00000205336	ADH7	1	3	0	0	0	2
ENSG00000173698	ADHFE1	50	68	86	75	82	18
ENSG00000182885	ADI1	379	521	1094	519	776	198
ENSG00000156920	ADIG	4	0	0	0	0	0
ENSG00000159618	ADIPOQ	10	2	0	0	0	1
ENSG00000112414	ADIPOQ-AS1	1	0	1	2	0	1
ENSG00000144820	ADIPOR1	499	785	1297	640	758	223
ENSG00000072071	ADIPOR2	348	335	304	414	414	214
ENSG00000117114	ADIRF	670	206	742	147	246	636
ENSG00000150471	ADK	509	918	1163	979	1121	523
ENSG00000248692	ADM	223	589	951	865	854	276
ENSG00000162618	ADM2	1	0	1	0	0	0
ENSG00000164199	ADM5	16	6	47	16	15	11
ENSG00000187758	ADNP	569	1061	891	868	1056	368
ENSG00000196616	ADNP-AS1	3	4	27	6	19	3
ENSG00000248144	ADNP2	233	294	277	448	323	241
ENSG00000198099	ADO	385	442	405	539	721	355
ENSG00000197894	ADORA1	98	120	46	50	30	37
ENSG00000172955	ADORA2A	0	0	0	0	0	0
ENSG00000196344	ADORA2A-AS1	6	5	0	0	2	4
ENSG00000147576	ADORA2B	23	20	11	8	0	4
ENSG00000182551	ADORA3	17	11	40	5	14	0
ENSG00000182035	ADPGK	302	592	777	601	714	454
ENSG00000181092	ADPGK-AS1	3	6	29	26	37	3
ENSG00000226482	ADPRH	1	19	1	11	8	3
ENSG00000159346	ADPRHL1	24	131	272	35	55	43
ENSG00000006831	ADPRHL2	175	228	438	378	403	135
ENSG00000148671	ADPRM	65	96	62	290	251	84
ENSG00000156110	ADRA1A	7	1	1	10	0	0
ENSG00000148926	ADRA1B	21	19	48	5	5	27
ENSG00000128165	ADRA1D	0	1	1	0	7	4
ENSG00000224420	ADRA2A	13	44	33	15	9	40
ENSG00000101126	ADRA2B	0	1	0	0	0	1
ENSG00000259456	ADRA2C	26	29	21	15	6	32
ENSG00000101544	ADRB1	44	14	27	87	58	17
ENSG00000181915	ADRB2	4	4	1	0	4	0
ENSG00000163485	ADRB3	4	0	0	0	2	2
ENSG00000128271	ADRBK1	157	273	286	235	194	238
ENSG00000178803	ADRBK2	1219	2620	1257	1502	1694	1905
ENSG00000170425	ADRM1	599	1503	1666	1785	1951	562
ENSG00000282608	ADSL	145	330	685	319	372	96
ENSG00000159322	ADSS	630	817	945	688	783	563
ENSG00000260898	ADSSL1	79	64	201	221	147	39
ENSG00000144843	ADTRP	9	3	1	0	0	5
ENSG00000153531	AEBP1	33	20	98	17	17	92
None	AEBP2	267	421	568	431	418	294
ENSG00000170222	AEN	48	50	146	86	127	73
ENSG00000120907	AES	1859	3074	3797	4311	4070	3270
ENSG00000170214	AFAP1	70	33	55	43	45	50
ENSG00000171873	AFAP1-AS1	1	1	21	43	1	18
ENSG00000150594	AFAP1L1	7	5	3	10	2	1
ENSG00000274286	AFAP1L2	38	31	106	43	62	40
ENSG00000184160	AFF1	170	230	157	184	235	91
ENSG00000043591	AFF2	104	147	331	495	604	147
ENSG00000169252	AFF3	714	1202	1264	1728	1792	1080
ENSG00000188778	AFF4	739	1215	1374	1038	1443	1062
ENSG00000173020	AFG3L1P	84	243	191	182	278	55
None	AFG3L2	467	1148	1470	1244	1587	564
ENSG00000130706	AFM	3	1	0	0	0	4
ENSG00000239900	AFMID	56	82	123	101	94	77
ENSG00000035687	AFP	0	1	15	0	1	1
None	AFTPH	510	905	1481	1180	1548	645
ENSG00000111863	AGA	90	35	224	45	92	45
ENSG00000106624	AGAP1	440	624	858	955	870	787
ENSG00000139154	AGAP1-IT1	0	3	0	9	4	0
ENSG00000181026	AGAP11	3	2	8	6	4	2
None	AGAP2	40	36	118	68	50	87
ENSG00000196526	AGAP2-AS1	8	1	24	5	4	11
ENSG00000272620	AGAP3	486	988	983	1172	1240	905
ENSG00000157510	AGAP4	8	7	3	1	0	1
ENSG00000169129	AGAP5	0	1	2	0	3	0
ENSG00000172493	AGAP6	29	16	25	51	50	52
ENSG00000155966	AGAP7P	0	0	0	5	0	0
ENSG00000144218	AGAP9	3	3	2	7	2	1
ENSG00000072364	AGBL1	3	5	2	0	1	5
ENSG00000223959	AGBL1-AS1	0	0	0	0	0	0
ENSG00000293510	AGBL2	2	0	4	10	0	0
ENSG00000141385	AGBL3	6	10	1	4	3	5
ENSG00000079557	AGBL4	53	51	144	88	85	41
ENSG00000183077	AGBL4-IT1	1	0	5	2	0	2
ENSG00000081051	AGBL5	572	646	936	924	904	237
ENSG00000119844	AGBL5-AS1	0	0	0	0	0	0
ENSG00000038002	AGER	1	6	4	2	0	0
ENSG00000157985	AGFG1	616	1038	1115	1030	1172	648
ENSG00000235529	AGFG2	78	101	115	128	172	86
ENSG00000261011	AGGF1	852	1263	1872	1855	2028	1244
ENSG00000135439	AGK	445	1010	1321	954	1685	405
ENSG00000255737	AGL	576	858	934	961	1096	796
ENSG00000133612	AGMAT	67	96	48	89	155	23
ENSG00000188234	AGMO	3	0	3	1	5	1
ENSG00000172650	AGO1	88	165	38	65	64	52
ENSG00000204149	AGO2	32	34	39	21	45	57
ENSG00000264204	AGO3	62	111	162	132	115	52
ENSG00000204172	AGO4	146	69	208	164	132	169
ENSG00000273540	AGPAT1	479	797	1148	1140	1019	888
ENSG00000260125	AGPAT2	194	296	396	291	251	222
ENSG00000165923	AGPAT3	472	681	884	736	816	539
ENSG00000146856	AGPAT4	308	598	748	515	504	409
ENSG00000186094	AGPAT4-IT1	50	21	87	23	33	5
ENSG00000225623	AGPAT5	403	924	1089	810	1160	481
ENSG00000084693	AGPS	672	956	1321	854	1422	515
ENSG00000231636	AGR2	0	0	0	0	0	0
ENSG00000204305	AGR3	6	0	1	0	1	0
ENSG00000173744	AGRN	16	11	11	16	1	8
ENSG00000106351	AGRP	6	0	2	0	0	2
ENSG00000164252	AGT	533	359	837	166	183	142
ENSG00000006530	AGTPBP1	819	1614	1619	2052	2251	965
