Protein names,Gene names,Ctrl N02,Ctrl N04,Ctrl N06,Ctrl N08,Ctrl N10,PD N01,PD N03,PD N05,PD N07,PD N09
UPF0577 protein KIAA1324-like,KIAA1324L,19.966131846110027,19.2542781829834,19.632795969645183,19.737001419067383,19.871854782104492,19.260406494140625,19.837886810302734,19.10577901204427,19.495697021484375,20.00988705952962
AH receptor-interacting protein,AIP,18.94346872965495,18.52734438578288,18.50613021850586,18.45245933532715,18.692534764607746,18.369743982950848,18.577452341715496,18.477209726969402,17.744883855183918,18.362340927124023
Pyridoxal kinase,PDXK,18.507750193277996,20.44687779744466,20.318251927693684,20.23245620727539,20.54819615681966,19.327519098917644,20.553290049235027,20.446063995361328,20.192881902058918,20.35946210225423
"Cytochrome c oxidase subunit 7A-related protein, mitochondrial",COX7A2L,21.19280433654785,20.875523885091145,20.601264317830402,20.437866210937496,20.942814509073894,19.411259333292644,20.746225992838543,20.529189427693684,20.21648343404134,20.504788716634113
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,NDUFB3,19.69821039835612,20.262522379557293,20.049912134806316,18.779685974121094,20.020041783650715,18.39988072713216,20.282400131225586,19.433076858520508,20.12021255493164,19.76199467976888
Mitochondrial import inner membrane translocase subunit Tim8 A,TIMM8A,20.395474751790363,19.89971987406413,20.215195337931316,20.177508036295574,20.56221071879069,18.323318481445312,19.71151288350423,20.004078547159832,19.865865071614582,19.87237548828125
Heterogeneous nuclear ribonucleoprotein Q,SYNCRIP,19.77172597249349,20.263232549031574,20.829320271809895,20.355273564656574,20.803693135579426,20.276946385701496,20.022733052571613,20.443871180216473,18.998694737752277,19.99176851908366
Clathrin coat assembly protein AP180,SNAP91,20.142767588297527,21.629093805948894,21.722802480061848,21.546708424886067,21.449360529581707,18.962148666381836,21.545162200927734,21.12366994222005,21.911118189493816,21.842939376831055
Reticulon-3,RTN3,19.90655771891276,20.95575205485026,21.530666987101238,21.081002553304035,20.942780176798504,19.07335154215495,21.117632548014324,21.260522842407227,20.135040283203125,18.366971333821613
Activator of 90 kDa heat shock protein ATPase homolog 1,AHSA1,17.821456909179688,19.292263666788738,19.220476786295574,19.080189387003582,19.29561487833659,18.608876546223957,18.990500768025715,19.167930603027344,18.821196873982746,18.21067174275716
Long-chain-fatty-acid--CoA ligase 3,ACSL3,19.276431401570637,19.162146886189777,20.055830637613933,19.309834162394207,20.304840087890625,19.256145477294922,19.503796259562176,19.713382085164387,18.539438247680664,19.03709348042806
Phosphatidate cytidylyltransferase 2,CDS2,19.33400281270345,19.73528544108073,20.035239537556965,19.749954223632812,20.30638821919759,19.021728515625,19.997831344604492,18.476155598958332,17.93096923828125,17.679705301920574
"Apoptosis-inducing factor 1, mitochondrial",AIFM1,20.278512954711914,19.30491320292155,19.60629717508952,19.40306790669759,19.949493408203125,19.132930119832356,19.522193272908527,19.605791091918945,19.832495371500652,19.58637301127116
Carbonic anhydrase 1,CA1,20.87279764811198,21.137821197509766,22.327523549397785,22.077877680460613,21.66854413350423,19.28150749206543,22.175722122192383,21.08863639831543,20.719422658284504,18.15288480122884
"GTPase HRas;GTPase HRas, N-terminally processed;GTPase NRas;GTPase KRas;GTPase KRas, N-terminally processed",HRAS;NRAS;KRAS,20.422574996948242,20.158588409423828,20.120023091634113,20.414641698201496,20.512244542439777,19.16649881998698,20.742629369099934,19.634897867838543,20.402652740478516,20.801796595255535
Proenkephalin-B;Alpha-neoendorphin;Beta-neoendorphin;Big dynorphin;Dynorphin A(1-17);Dynorphin A(1-13);Dynorphin A(1-8);Leu-enkephalin;Rimorphin;Leumorphin,PDYN,18.93102518717448,20.86053530375163,19.124709447224937,19.991886774698894,18.38256772359212,18.20070457458496,19.391695658365887,20.0835698445638,20.836121877034504,20.767541249593098
Ig alpha-1 chain C region,IGHA1,22.79640769958496,21.559637705485027,23.87485949198405,20.682136535644535,22.009387334187824,21.466824213663738,20.9928461710612,21.591824849446613,22.018596013387043,20.310827255249023
Fibrinogen gamma chain,FGG,23.12726084391276,22.223557154337566,22.139109293619793,18.133119583129883,22.935855229695637,18.613014856974285,21.95819600423177,20.2089106241862,21.088568369547527,20.106674830118816
Alpha-1-acid glycoprotein 1,ORM1,20.295442581176758,21.33086903889974,19.94732157389323,19.580615997314453,20.67499287923177,18.588791529337566,20.547711690266926,18.135632197062176,20.19746462504069,19.673190434773762
Hemopexin,HPX,19.719146728515625,20.05358823140462,19.480613072713215,18.32632827758789,19.908170700073242,18.589009602864582,21.103103001912434,17.628192901611328,19.969201405843098,19.647127151489258
Beta-hexosaminidase subunit alpha,HEXA,18.061020533243816,18.680892944335938,19.4432799021403,19.0704345703125,19.08094660441081,18.501209894816082,18.729023615519207,19.047786076863606,19.336606979370117,19.133419036865234
"Cytochrome b-c1 complex subunit 6, mitochondrial",UQCRH,19.939701716105144,20.60094706217448,20.787621180216473,20.675357818603516,20.35344632466634,18.79830487569173,20.47429847717285,19.74444325764974,20.608888626098633,20.35586166381836
"Heterogeneous nuclear ribonucleoprotein A1;Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed;Heterogeneous nuclear ribonucleoprotein A1-like 2",HNRNPA1;HNRNPA1L2,21.199684143066406,20.854881286621094,20.697816212972008,21.279303232828777,20.554763793945312,19.217005411783855,19.409188588460285,20.603495915730793,20.72615623474121,20.75552368164063
Ig mu chain C region;Ig mu heavy chain disease protein,IGHM,21.364450454711914,18.95230547587077,19.797719319661457,19.03674825032552,18.536001205444336,18.04089291890462,21.021087010701496,18.35961850484212,18.34851328531901,18.665000279744465
Delta-aminolevulinic acid dehydratase,ALAD,19.917081832885742,20.07601801554362,20.02936299641927,18.511206309000652,19.242469151814777,20.01127751668294,19.91718292236328,19.55853843688965,20.37598419189453,19.505570729573567
Pyruvate kinase PKM,PKM,26.587331136067707,27.175577799479168,26.82485008239746,27.03330930074056,26.614012400309246,26.786149342854817,27.0845890045166,27.00547726949056,27.29061508178711,27.21651776631673
Heterogeneous nuclear ribonucleoprotein L,HNRNPL,18.265710194905598,18.530269622802734,18.432748158772785,18.342559178670246,18.671851476033527,18.77654520670573,18.65590540568034,18.51413917541504,18.004430770874023,18.28601010640462
"ATP-dependent 6-phosphofructokinase, liver type",PFKL,18.288815180460613,19.048316319783527,19.211327870686848,19.21643829345703,18.51637903849284,18.299991607666016,17.778662999471027,19.011579513549805,19.25706736246745,19.0594056447347
Ras-related protein Rab-5A,RAB5A,18.57067044576009,19.070180257161457,19.024271647135418,19.200896581013996,18.907108942667644,18.186981836954754,18.4721196492513,18.723969141642254,18.98265329996745,19.000826517740887
"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",SDHB,18.78187433878581,20.009267807006836,20.011974334716797,19.837055842081707,19.23143259684245,19.444995880126953,19.526689529418945,19.938560485839844,19.582169850667317,19.451199849446613
Acetylcholinesterase,ACHE,18.89485041300456,19.083261489868164,18.751384735107422,18.86173375447591,18.82070477803548,18.8015562693278,18.683674494425457,18.689233144124348,19.184592564900715,19.26757876078288
Protein S100-A1,S100A1,18.941996256510418,21.520865122477215,21.02818997701009,21.45204226175944,20.955161412556965,19.637676239013672,21.605864842732746,21.542565663655598,20.9836483001709,21.702524820963543
"Tryptophan--tRNA ligase, cytoplasmic;T1-TrpRS;T2-TrpRS",WARS,17.948435465494793,19.16982905069987,19.13130823771159,19.33445866902669,19.22759246826172,18.7268009185791,17.632158279418945,18.871191660563152,19.27152951558431,19.265635172526043
Cerebellin-1;Cerebellin;[des-Ser1]-cerebellin,CBLN1,18.49981625874837,20.186729431152344,20.421635309855144,20.517772674560547,20.485618591308594,18.54210917154948,18.784480412801106,19.96183713277181,20.542308171590168,20.438512802124023
3-mercaptopyruvate sulfurtransferase,MPST,17.700217564900715,18.327358881632488,17.84319305419922,18.045897165934246,17.528738657633465,18.524497985839844,18.309165318806965,18.22560691833496,18.263530731201172,18.513872146606445
Proteasome subunit alpha type-5,PSMA5,18.799760182698567,20.072739283243816,19.84959602355957,20.192832310994465,20.17986996968587,18.782887776692707,19.303810755411785,20.337891896565754,20.231241861979168,19.497208913167317
D-dopachrome decarboxylase;D-dopachrome decarboxylase-like protein,DDT;DDTL,19.106730143229168,20.263764063517254,19.75983428955078,20.44200388590495,19.114477157592773,18.484276453653973,19.195384979248047,19.516812006632488,19.891425450642902,20.529478708902996
Heme oxygenase 2,HMOX2,20.228542963663738,19.374558130900066,20.19741376241048,19.51255925496419,20.512832641601562,19.740520477294922,19.818341573079426,20.089876810709637,18.953413645426433,18.8175048828125
S-adenosylmethionine synthase isoform type-2,MAT2A,20.158966700236004,18.151257197062176,20.28363291422526,19.958184560139973,19.42255401611328,19.176489512125652,18.102327346801758,20.43143145243327,19.212555567423504,20.081396102905273
DnaJ homolog subfamily A member 1,DNAJA1,19.384565353393555,19.933848698933918,20.240325927734375,20.427234649658203,18.709381103515625,18.493340810139973,20.29059092203776,20.188884735107422,19.87139129638672,19.951670328776043
60S ribosomal protein L22,RPL22,22.125410715738933,22.012366612752277,21.565155665079754,19.3787784576416,20.743048985799152,19.615387598673504,21.781880696614582,21.468975067138672,22.52118746439616,22.150288899739582
"Lon protease homolog, mitochondrial",LONP1,18.0665709177653,18.6943842569987,18.695382436116535,18.829613367716473,18.533267974853516,18.321184158325195,18.4339173634847,18.705101013183594,18.908962885538738,18.743988672892254
Transgelin-2,TAGLN2,19.58006413777669,19.297038396199543,18.904478708902996,19.07711346944173,19.23780123392741,18.050750096638996,18.18576939900716,19.590224583943684,19.439985275268555,18.993410110473633
Macrophage-capping protein,CAPG,19.330556869506836,19.156522750854492,18.759620666503906,18.92258580525716,18.94305992126465,18.10612678527832,19.178138097127277,19.642242431640625,19.088917414347332,19.516416549682617
Eukaryotic translation initiation factor 2 subunit 3;Putative eukaryotic translation initiation factor 2 subunit 3-like protein,EIF2S3;EIF2S3L,18.421348571777347,18.59093475341797,19.354584376017254,19.306683858235676,19.547961552937824,19.04714075724284,19.258242925008137,19.443630854288738,18.842131932576496,18.90783437093099
Neutral amino acid transporter A,SLC1A4,18.974109649658203,19.279926935831707,19.74431864420573,19.98162333170573,20.172929128011067,18.963157018025715,19.109696706136067,19.538806279500324,19.657307942708332,19.387580235799152
Rap1 GTPase-activating protein 1,RAP1GAP,18.348195393880207,18.512977600097656,18.581668217976887,18.470425287882488,18.4720401763916,18.627036412556965,17.90082295735677,18.234355290730793,18.386760075887043,18.394756317138672
"Cytochrome b-c1 complex subunit Rieske, mitochondrial;Cytochrome b-c1 complex subunit 11;Putative cytochrome b-c1 complex subunit Rieske-like protein 1",UQCRFS1;UQCRFS1P1,21.201289494832356,22.612110137939453,22.40590222676595,22.747455596923828,22.632827758789062,19.061123530069988,22.485239028930664,22.42418034871419,22.48979886372884,22.640681584676106
Signal recognition particle 9 kDa protein,SRP9,19.34202512105306,19.638795216878254,19.94255193074544,19.172476450602215,20.045892079671223,19.673737208048504,20.049087524414062,20.2187442779541,19.417848587036133,19.766740798950195
Histidine triad nucleotide-binding protein 1,HINT1,19.27290916442871,18.69158109029134,21.345795313517254,20.167004267374676,21.100526809692383,19.135934193929035,21.09695307413737,20.79238510131836,20.048884709676106,21.054850260416668
Ras-related protein Rab-5C,RAB5C,18.876076380411785,19.362411499023438,19.529788970947266,19.488662719726562,19.389753341674805,18.44595209757487,19.470584233601887,19.42244021097819,19.513271967569988,19.63320795694987
Dynein light chain Tctex-type 3,DYNLT3,19.202502568562824,19.887235641479492,20.394009908040363,19.9064203898112,20.446967442830402,19.268025716145832,19.992276509602863,19.798585255940754,18.643566131591797,19.673665364583332
Ribonuclease UK114,HRSP12,21.39240264892578,22.536036173502605,22.252325693766277,22.735523223876953,21.491917928059895,19.747769037882488,22.248280207316082,22.582857131958008,22.214492797851562,22.61055564880371
ATP-citrate synthase,ACLY,19.333920160929363,18.806663513183594,19.59723663330078,19.208852767944336,19.885875066121418,18.633878707885742,19.567715962727863,19.44529914855957,18.92151387532552,18.6246337890625
Eukaryotic translation initiation factor 5,EIF5,17.997732162475586,17.786645889282227,18.112606684366863,18.16759427388509,18.038326263427734,18.640100479125977,18.214831670125324,17.8316224416097,17.902070999145508,18.144018809000652
Nucleosome assembly protein 1-like 1,NAP1L1,20.676089604695637,20.670425415039062,21.190980911254883,20.957827885945637,21.263333638509113,19.200174967447918,20.8037846883138,21.2367000579834,20.576449712117512,20.75974718729655
Tumor protein D52,TPD52,18.66522471110026,19.97161610921224,19.347002665201824,19.225730260213215,19.444424947102863,19.107182184855144,19.811970392862957,19.482091267903645,19.761483510335285,19.69056574503581
Ras-related protein Rab-10,RAB10,17.845592498779297,19.82508913675944,20.001117706298828,19.96768633524577,19.101640065511067,18.719018300374348,19.104244232177734,19.754308064778645,20.057486216227215,19.352779388427734
Epididymal secretory protein E1,NPC2,21.190272013346355,21.02220090230306,20.0104185740153,20.959295908610027,21.548210779825848,19.792583465576172,20.505877176920574,20.619409561157227,20.889561971028645,21.10485585530599
Coatomer subunit zeta-1,COPZ1,19.426455815633137,18.296847025553387,19.217965443929035,18.46445592244466,19.20453135172526,18.228866577148438,18.909250259399414,18.96831448872884,17.39370346069336,19.20330874125163
40S ribosomal protein S7,RPS7,18.455807367960613,17.960987091064453,17.746686299641926,18.38555399576823,18.07036781311035,18.73724619547526,17.34124819437663,17.713009516398113,18.16333516438802,18.4280579884847
Serine/threonine-protein phosphatase PP1-beta catalytic subunit;Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,PPP1CB;PPP1CA,19.688857396443684,20.73957633972168,20.5909112294515,20.845271428426106,20.786265691121418,20.092727661132812,20.36948521931966,20.870328267415363,20.757842381795246,20.977563858032227
Small nuclear ribonucleoprotein Sm D3,SNRPD3,19.711657842000324,19.657119115193684,19.770404815673828,19.75455665588379,19.505475997924805,18.359140396118164,19.215402603149414,18.090213139851887,19.864904403686523,19.158177693684895
40S ribosomal protein S28,RPS28,20.08144760131836,20.087740580240887,19.92629114786784,20.53959083557129,18.859359105428062,19.405559539794922,20.1831111907959,20.376018524169922,20.124300003051758,19.571014404296875
S-phase kinase-associated protein 1,SKP1,22.018298467000324,21.996409098307293,22.378281275431316,22.078471501668293,22.591033299763996,20.918604532877605,22.455322265625,22.367251714070637,21.510804494222004,21.639414469401043
Enhancer of rudimentary homolog,ERH,19.32137934366862,18.308472951253254,20.004738489786785,18.947664260864258,20.328218460083008,19.232558568318684,20.076873143513996,19.774586995442707,18.08787790934245,18.209461847941082
"Calcium/calmodulin-dependent 3,5-cyclic nucleotide phosphodiesterase 1B",PDE1B,19.2427495320638,19.174301783243816,17.927178064982098,19.22623125712077,18.168954849243164,18.606627146402996,18.431549708048504,20.45057551066081,19.583894729614258,19.67507044474284
"ATP-dependent 6-phosphofructokinase, platelet type",PFKP,21.68857192993164,20.962120691935223,21.021050135294598,20.8269837697347,20.93946075439453,20.206746419270832,20.62309455871582,21.439347585042317,21.15036455790202,20.833059310913086
Importin subunit beta-1,KPNB1,18.878989537556965,19.553002675374348,20.16034444173177,20.084158579508465,20.560104370117188,19.15871238708496,20.146565119425457,20.275418599446613,19.703341166178387,20.02633794148763
Hepatocyte cell adhesion molecule,HEPACAM,21.2258358001709,21.62553596496582,20.230658213297527,20.72702407836914,19.00473149617513,19.85831133524577,20.26689338684082,20.49532636006673,21.685869216918945,20.476987838745117
Lysine--tRNA ligase,KARS,20.82110595703125,21.060234705607098,20.630652109781902,21.23248227437337,20.759257634480793,19.267019271850586,20.36183802286784,20.377155303955078,20.516746520996094,20.907546997070312
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",PDK3,19.291088740030926,18.82988739013672,19.232242584228516,19.072783788045246,19.360875447591145,18.524017969767254,18.682170867919922,19.077470143636067,19.617780685424805,19.032644271850586
Astrocytic phosphoprotein PEA-15,PEA15,18.868362426757812,19.703776041666668,19.839951197306316,19.687164942423504,19.27935727437337,19.171637217203777,19.63152313232422,19.720740000406902,19.560684204101562,20.002941767374676
"Hsp90 co-chaperone Cdc37;Hsp90 co-chaperone Cdc37, N-terminally processed",CDC37,18.32902717590332,19.098304112752277,19.111762364705402,19.3366756439209,19.325369517008465,18.13421694437663,19.329580942789715,19.243760426839195,18.44415791829427,19.186246236165363
Tubulin beta-8 chain,TUBB8,18.371409098307293,21.6812801361084,21.62105878194173,21.070461908976238,20.376712163289387,17.564948399861652,20.589446385701496,20.85864321390788,20.092536290486652,21.260990142822266
Very-long-chain 3-oxoacyl-CoA reductase,HSD17B12,18.738832473754883,17.908009847005207,18.586981455485027,18.504962921142578,18.640157063802082,18.286631266276043,18.580970128377277,18.647151311238606,17.232873916625977,18.084666570027668
Nodal modulator 2;Nodal modulator 1;Nodal modulator 3,NOMO2;NOMO1;NOMO3,21.272576649983723,20.781471252441406,21.3209285736084,21.215131759643555,21.037953694661457,19.206640243530273,20.641743342081707,20.71887715657552,20.029541015625,19.754525502522785
"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",HIBCH,18.912302652994793,19.595691680908203,19.017263412475586,19.59838104248047,17.85066095987956,18.02943738301595,19.14026705423991,19.127548217773438,19.451964060465496,19.182008107503254
Neutral cholesterol ester hydrolase 1,NCEH1,19.167612711588543,20.29016049702962,20.53253110249837,20.563810348510742,20.716158548990887,18.061702092488606,20.42160479227702,20.776699701944988,20.668237050374348,18.90986696879069
Complexin-2,CPLX2,19.96634292602539,20.167746861775715,21.03835614522298,19.936015446980793,21.96874300638835,19.49339548746745,21.203858693440754,20.603335698445637,19.411069869995117,20.968050003051758
Synaptic vesicle glycoprotein 2A,SV2A,18.780967712402344,19.845219294230144,19.93192418416341,19.34583918253581,19.89488474527995,18.593888600667317,20.10708173116048,19.706185658772785,20.47945721944173,20.300811131795246
Ras-related GTP-binding protein A;Ras-related GTP-binding protein B,RRAGA;RRAGB,19.259650548299152,19.04311688741048,19.50674819946289,19.14854558308919,19.376514434814457,18.821802139282227,18.92584292093913,18.729965209960938,18.749643325805664,19.11866569519043
L-xylulose reductase,DCXR,19.504685084025066,20.009432474772137,20.397003809611004,20.42577298482259,20.04157066345215,19.08409881591797,18.51615842183431,20.017040888468426,20.736141204833984,20.502612431844074
Transmembrane emp24 domain-containing protein 7,TMED7,20.81337547302246,20.687131881713867,20.34828821818034,20.87920888264974,20.823545455932617,18.747330983479817,20.052451451619465,19.43159357706706,20.541297276814777,20.46245829264323
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,NDUFA11,20.188508987426758,20.98083241780599,19.964231491088867,20.13734499613444,19.912204106648762,19.765132904052734,19.79161771138509,19.956427892049152,19.90901247660319,20.188254674275715
"Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase",TMEM55A,18.857213973999023,19.340838114420574,20.0293451944987,19.329076766967773,20.06081199645996,19.657028198242188,20.503353754679363,20.29943021138509,18.190463383992512,18.658146540323894
Prenylcysteine oxidase-like,PCYOX1L,19.734708150227863,18.677663167317707,19.739147822062176,19.592156728108723,19.72775713602702,19.307104110717777,19.479633331298828,20.110254287719727,20.04165267944336,19.577172597249348
N-acylneuraminate cytidylyltransferase,CMAS,20.200469970703125,19.66338857014974,19.9157657623291,20.0216801961263,18.784189860026043,19.073025385538738,19.5352783203125,19.545803705851238,19.700984954833984,19.488325754801433
Neuronal cell adhesion molecule,NRCAM,18.73682403564453,18.353113810221355,19.235401789347332,18.57833417256673,18.28550847371419,19.054128646850586,18.624223709106445,19.24987538655599,19.36486053466797,19.509459177652996
Optineurin,OPTN,18.95566177368164,18.65304946899414,18.66631253560384,18.948020935058594,19.079213460286457,18.31360371907552,18.947468439737957,18.650481541951496,18.486770629882812,18.507914225260418
Fumarylacetoacetate hydrolase domain-containing protein 2A;Fumarylacetoacetate hydrolase domain-containing protein 2B,FAHD2A;FAHD2B,19.837251663208008,19.64244842529297,19.338802337646488,19.783214569091797,19.079806645711262,18.23718770345052,19.606704076131184,19.643845240275066,20.175425211588543,19.345936457316082
GTP-binding protein Di-Ras2,DIRAS2,18.080522537231445,18.10999870300293,17.92888577779134,17.572731653849285,18.53904469807943,18.374183019002277,17.951508204142254,18.04204813639323,18.219200134277344,17.722201665242512
Proton myo-inositol cotransporter,SLC2A13,22.431298573811848,22.600812276204426,22.047828038533527,22.53362973531087,22.403003692626953,19.50072987874349,21.950768152872723,21.952383041381836,22.047684987386067,22.113794962565105
Nucleosome assembly protein 1-like 4,NAP1L4,20.95714505513509,20.79915428161621,20.726645787556965,20.530590693155926,21.16396713256836,20.108720779418945,21.282562891642254,21.01806704203288,19.421899795532227,19.436235427856445
Transmembrane emp24 domain-containing protein 9,TMED9,20.602776845296223,19.37057876586914,19.459588368733723,19.700613657633465,20.075306574503582,18.888333002726238,19.62584177652995,20.01302655537923,20.274744669596355,20.053768793741863
UPF0687 protein C20orf27,C20orf27,19.568492889404297,19.461449305216473,19.3616886138916,19.54301643371582,19.451573689778645,18.65584882100423,19.374771118164062,19.396155039469402,20.62334696451823,19.807456334431965
Haloacid dehalogenase-like hydrolase domain-containing protein 2,HDHD2,18.23210334777832,18.950191497802734,19.42895444234212,19.305713017781574,18.357653935750324,18.415679931640625,18.679582595825195,19.685561498006184,19.065945307413738,19.192704518636067
"Acyl-CoA dehydrogenase family member 9, mitochondrial",ACAD9,20.26305643717448,20.027334213256836,19.891199111938477,19.856809616088867,19.69643274943034,19.211312611897785,19.787209192911785,19.747748057047527,19.895322799682617,19.83320681254069
"GrpE protein homolog 1, mitochondrial",GRPEL1,17.72748057047526,17.60201644897461,17.86067008972168,18.229300181070965,17.93635431925456,18.591750462849934,18.402416229248047,17.872394561767578,17.990790049235027,18.11292839050293
Transmembrane 9 superfamily member 3,TM9SF3,18.783082326253254,19.562724431355793,19.579661051432293,19.66167449951172,19.740032196044922,18.47421391805013,18.445885976155598,19.580462137858074,19.55974006652832,19.769453048706055
Ras-related protein Rab-6B,RAB6B,19.919104258219402,20.058604558308918,19.87839953104655,19.93709437052409,19.765382766723633,18.56424903869629,19.84420649210612,19.959035873413086,19.097267150878906,19.785871505737305
ADP-ribosylation factor-like protein 8B,ARL8B,20.878672281901043,21.35456657409668,21.099712371826172,21.204512278238933,21.015166600545246,21.266974767049152,21.245093027750652,21.250869115193684,21.228539148966473,21.32352638244629
Mitochondrial carrier homolog 1,MTCH1,20.98824691772461,20.096839904785156,19.41928990681966,20.004454294840496,20.02777671813965,19.886486689249676,20.23735809326172,19.68035825093587,19.667312622070312,18.933499018351238
Protein NDRG4,NDRG4,19.752282460530598,18.78522300720215,19.68737030029297,19.753069559733074,18.949452082316082,18.59531529744466,20.26648203531901,20.072954813639324,19.536571502685547,19.9922612508138
Calcium/calmodulin-dependent protein kinase type II subunit alpha,CAMK2A,17.97442563374837,19.329484939575195,18.789761861165363,18.667399724324543,17.97044054667155,18.288045247395832,17.526390711466473,18.52858543395996,19.245595296223957,18.8230037689209
"cAMP and cAMP-inhibited cGMP 3,5-cyclic phosphodiesterase 10A",PDE10A,19.784259796142578,19.089462280273438,19.396442413330078,19.448801676432293,19.6454652150472,17.77277183532715,18.65274175008138,18.92499097188314,19.470649083455402,18.85546366373698
WD repeat-containing protein 37,WDR37,18.589489618937176,18.510135650634766,18.532338460286457,18.326597213745117,18.415225346883137,18.27893002827962,18.54346529642741,18.07289695739746,18.427900314331055,18.36849085489909
Mitochondrial fission 1 protein,FIS1,17.90045229593913,18.874701182047527,18.685599009195965,18.642301559448242,19.228186925252277,18.182793299357098,18.971642176310223,18.943702061971027,18.617673873901367,18.808217366536457
Neuroplastin,NPTN,21.006275177001953,20.344975153605144,20.758447647094727,18.718084971110027,21.069973627726238,19.38582483927409,21.255536397298176,21.10840606689453,20.1119384765625,21.333688735961914
Coatomer subunit gamma-1;Coatomer subunit gamma-2,COPG1;COPG2,17.607271830240887,18.34579022725423,18.843366622924805,18.75963973999023,18.869504928588864,17.845055898030598,18.368000030517578,18.345595677693684,18.138713200887043,18.273304621378582
"Cysteine desulfurase, mitochondrial",NFS1,19.284066518147785,19.159093856811523,19.203449885050457,19.219913482666016,19.25519307454427,18.577011744181316,19.423137029012043,19.7797908782959,19.598761240641277,19.320672353108723
"Probable threonine--tRNA ligase 2, cytoplasmic",TARSL2,19.742376963297527,18.860482533772785,19.493152618408203,19.453562418619793,19.773420969645183,19.72837511698405,19.315696080525715,19.53614107767741,18.101786931355793,18.633389155069988
Cytochrome c oxidase subunit NDUFA4,NDUFA4,23.423771540323894,22.741498947143555,22.945885976155598,22.537187576293945,22.920806884765625,22.84137026468913,23.018243153889973,23.017178217569988,22.43413543701172,22.590105056762695
Myc box-dependent-interacting protein 1,BIN1,21.25819524129232,21.268545150756836,20.916231791178387,21.32909393310547,21.194515228271484,21.267635345458984,21.360706329345703,20.478485107421875,21.465203603108723,21.549992243448894
Neural cell adhesion molecule L1-like protein;Processed neural cell adhesion molecule L1-like protein,CHL1,18.713347752888996,19.06800079345703,18.90260187784831,18.863616307576496,18.59762128194173,18.78269640604655,18.72595469156901,18.617462793986004,19.52136484781901,19.23940658569336
ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y,DDX3X;DDX3Y,20.5115172068278,20.031667073567707,20.75441296895345,20.62600580851237,20.465686798095703,20.292373657226562,20.085569381713867,20.18644841512044,19.858036677042644,19.908831278483074
Complexin-1,CPLX1,20.383040110270183,21.007153193155926,20.48730977376302,21.005123138427734,21.43042246500651,21.41049067179362,20.930081049601238,20.96666653951009,21.042903264363606,20.959959665934246
Microsomal glutathione S-transferase 3,MGST3,19.196378072102863,19.44776217142741,19.654481252034504,19.30477778116862,19.485348383585613,19.107824325561527,19.340572992960613,19.395299911499023,18.96153450012207,19.408253987630207
Serine/threonine-protein kinase DCLK1,DCLK1,19.245758692423504,19.011137008666992,19.299116770426433,19.2328306833903,18.838285446166992,19.29726282755534,19.410183588663738,19.50899378458659,19.000937779744465,18.792320251464844
Actin-related protein 2/3 complex subunit 3,ARPC3,19.432406107584637,19.436560312906902,19.295169830322266,19.374474843343098,19.095239003499348,19.633790334065754,19.074098587036136,19.557015736897785,18.82093111673991,19.341354370117188
"Fatty acid-binding protein, brain",FABP7,20.08906428019206,18.593821207682293,19.383101145426433,19.799411137898762,19.706387837727863,18.666370391845703,18.68574587504069,19.001497268676758,18.38753890991211,17.785653432210285
Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,DHX15,19.72275670369466,18.311357498168945,19.7432435353597,19.565521876017254,18.800989151000977,19.61998240152995,19.408175786336262,18.456074396769207,19.500366210937504,18.903835932413738
Cytoplasmic dynein 1 light intermediate chain 2,DYNC1LI2,19.9558900197347,19.66744105021159,19.906352361043293,19.029041290283203,20.07718276977539,19.585071563720703,19.92950693766276,20.137802124023438,19.78558349609375,19.571727752685547
Heterogeneous nuclear ribonucleoprotein R,HNRNPR,18.39760144551595,18.111307779947918,17.876649856567383,18.075136184692383,18.44771448771159,17.790198644002277,17.78575388590495,17.934571584065754,18.085716247558594,17.936080932617188
Aflatoxin B1 aldehyde reductase member 2;Aflatoxin B1 aldehyde reductase member 4,AKR7A2;AKR7L,19.982004801432293,19.96700159708659,19.905346552530926,20.285093943277992,19.89554214477539,19.50379308064779,19.47366460164388,20.25269063313802,20.173248926798504,20.506580352783203
"Asparagine--tRNA ligase, cytoplasmic",NARS,20.400665283203125,20.27984873453776,19.770638783772785,20.17296854654948,20.064112345377605,20.24939791361491,19.70087242126465,18.415058135986328,18.20247522989909,19.13175328572591
Putative adenosylhomocysteinase 2;Putative adenosylhomocysteinase 3,AHCYL1;AHCYL2,22.565753936767578,21.788705190022785,22.17246437072754,22.123711903889973,22.194643020629883,22.39073944091797,21.91104571024577,22.25295893351237,21.997592290242512,21.89738655090332
