Protein names,Gene names,Ctrl N02,Ctrl N04,Ctrl N06,Ctrl N08,Ctrl N10,PD N01,PD N03,PD N05,PD N07,PD N09
Syntaxin-7,STX7,21.30673217773437,20.72878646850586,21.744649251302082,21.052754720052082,22.131165822347004,21.593077341715496,22.052915573120117,21.469261805216473,20.922924677530926,20.989034652709964
26S proteasome non-ATPase regulatory subunit 3,PSMD3,19.976844151814777,19.27200444539388,19.48946762084961,19.723666508992512,19.47395451863607,19.78302828470866,18.828767776489258,19.075705846150715,19.37437566121419,19.173744837443035
Heat shock 70 kDa protein 12A,HSPA12A,21.411357243855793,21.454132080078125,21.915320078531902,21.583542505900066,21.554243723551433,21.30581792195638,21.303948720296223,21.543222427368164,21.66703605651856,21.239024480183918
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,NDUFA2,21.532718022664387,20.91407839457194,20.980547587076824,20.782649993896484,21.085346221923828,21.022128423055012,21.096705118815105,20.862709681193035,21.018500645955402,20.98646608988444
Alpha-actinin-4;Alpha-actinin-1,ACTN4;ACTN1,19.423641204833984,19.936079025268555,20.03761164347331,20.45611635843913,20.04552968343099,20.406494140625,20.006442387898762,20.42786979675293,20.462955474853516,20.61552556355794
LanC-like protein 1,LANCL1,20.164119084676106,21.92165247599284,21.57270050048828,21.654123942057293,21.212137858072918,21.680774688720703,21.87034797668457,21.275806427001953,21.87613042195638,22.27159309387207
Putative nucleoside diphosphate kinase;Nucleoside diphosphate kinase B;Nucleoside diphosphate kinase A,NME2P1;NME2;NME1,23.403533299763996,22.430585861206055,22.1029847462972,22.809642155965168,22.21584192911784,23.319079717000324,22.220707575480144,22.438601811726887,22.631275177001953,22.70464324951172
Sorting nexin-3,SNX3,19.542474110921223,19.578476587931316,18.49899737040202,19.385936101277668,19.3244571685791,19.265621185302734,18.473228454589844,19.54219118754069,18.730323791503906,19.140254338582356
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",NDUFS2,20.988666534423828,20.948415120442707,21.332967122395832,20.859647750854492,20.86924870808919,20.392499923706055,19.900482177734375,20.942569096883137,21.10293706258138,20.938873926798504
SH3 domain-binding glutamic acid-rich-like protein,SH3BGRL,21.246288299560547,21.80684534708659,21.434825261433918,21.43096097310384,21.608673095703125,22.077353795369465,22.04188855489095,22.036867141723633,21.92668279012044,21.724795659383137
Cold shock domain-containing protein E1,CSDE1,20.251788457234703,19.515221913655598,20.00977071126302,20.053482055664062,19.83094660441081,19.521432240804035,19.929838180541996,19.855602900187176,18.672197977701824,18.973005930582683
Carbonyl reductase [NADPH] 3,CBR3,20.967498779296875,20.50024350484212,21.551495869954426,20.71223322550456,20.92027982076009,20.912481943766277,20.99786949157715,21.879458745320637,21.013603846232098,20.901933034261067
PRA1 family protein 3,ARL6IP5,20.89294370015462,19.463715235392254,20.395910898844402,20.586400985717773,21.232807795206707,20.84201939900716,20.736894607543945,20.791367212931316,20.57972017923991,20.679339090983074
Flotillin-1,FLOT1,18.52078692118327,18.772258122762043,19.348689397176106,18.955277760823567,18.745438893636067,19.415730158487957,18.513769785563152,19.35751215616862,19.328088124593098,19.47356605529785
Tubulin polymerization-promoting protein,TPPP,21.50016212463379,21.776146570841473,20.81388282775879,21.25483576456706,21.686546961466473,21.266936620076496,21.85900624593099,21.157896041870117,21.410001118977863,21.69088872273763
Endonuclease domain-containing 1 protein,ENDOD1,19.916934967041016,19.027978897094727,19.45631281534831,19.55183219909668,19.552567799886067,19.80714734395345,19.39871342976888,19.476537068684895,19.313090642293293,19.177941640218098
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,NDUFA7,19.19863510131836,19.628068288167317,19.17779032389323,19.7623348236084,19.727062861124676,20.224501927693684,19.56189473470052,19.658565521240234,19.323808670043945,19.769118626912434
"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",NDUFA10,22.31040891011556,22.260613123575848,21.857996622721355,22.240982055664062,21.570585250854492,21.83694330851237,21.619043986002605,21.71609878540039,21.92414665222168,21.853298823038738
Heat shock 70 kDa protein 4L,HSPA4L,20.842627843221027,20.480637232462566,20.60073979695638,20.67422040303548,20.363018035888672,20.7171630859375,20.487742106119793,20.412573496500652,19.876615524291992,19.926270802815754
