"","ID","log2FC","AveExpr","t","P.Value","adj.P.Val","B"
"583","ANXA2",1.08863983154297,19.8964232126872,4.67824217756977,0.000647411050453744,0.370225279851524,-1.12746791530654
"605","CANX",-0.547364425659178,23.5691570917765,-4.18502140945857,0.00147607668191162,0.370225279851524,-1.57431562684348
"260","GBE1",-0.996641921997073,18.9266993840535,-3.901434950429,0.00240376772245618,0.370225279851524,-1.85101408756425
"324","GLIPR2",1.05518608093262,19.2161725997925,3.88447690378585,0.00247561350961782,0.370225279851524,-1.86800331874066
"578","RPN2",-0.47698809305827,22.1207047144572,-3.86902949580029,0.00254299529212497,0.370225279851524,-1.88352169165595
"77","NOMO2;NOMO1;NOMO3",-1.05534693400065,20.5979389190674,-3.86429042779565,0.00256404566895528,0.370225279851524,-1.88829063841378
"448","SSR4",-0.545914332071936,20.6272673924764,-3.82931089023444,0.00272510721236663,0.370225279851524,-1.92360788638752
"782","ATP2A2",-0.472709147135419,22.4188795725505,-3.58625939519357,0.0041752857000366,0.407482103231039,-2.17453891431144
"507","SIRT2",0.505855814615887,21.6649143218994,3.57780526643423,0.00423813127439726,0.407482103231039,-2.18343516219205
"660","APOO",-0.714226277669271,20.6667967478434,-3.45485024081871,0.00527018887694603,0.407482103231039,-2.31402582679194
"121","FABP7",-1.00899594624837,19.0098591486613,-3.41053446578595,0.0057024900272086,0.407482103231039,-2.36162869785316
"457","MARS",-0.692876180013022,21.8636531829834,-3.29766076267562,0.00697478638213781,0.407482103231039,-2.48407887220319
"152","CST3",0.85258369445801,21.9866917292277,3.23511060264926,0.00780087408563671,0.407482103231039,-2.55263889031814
"374","SH3BGRL",0.455998992919921,21.7335180918376,3.23303126949691,0.00782998286885397,0.407482103231039,-2.55492617236105
"881","ALDH1A1",-1.27896334330241,23.8561470667521,-3.17317259802553,0.0087169427507922,0.407482103231039,-2.62098716873245
"712","PRKAR2B",-0.603119023640948,21.892472521464,-3.14911091596088,0.00910158311298347,0.407482103231039,-2.64765603016309
"182","GM2A",0.583773040771486,19.6668108622233,3.10275634505814,0.00989170613678643,0.407482103231039,-2.69920829065668
"12","CDS2",-1.21089604695638,19.2267260233561,-3.09824437299303,0.00997222511943929,0.407482103231039,-2.70423809809882
"179","CPE",0.766237386067707,19.7081951141357,3.03384650637391,0.0111962620703156,0.407482103231039,-2.77624507883287
"687","HSP90AB1",-0.577158228556315,25.0980216344198,-3.00715322781416,0.0117470333058168,0.407482103231039,-2.80620621722172
"629","UBA52;RPS27A;UBB;UBC",0.645660654703776,23.5644434611003,2.99987527452678,0.0119018777635378,0.407482103231039,-2.8143861144421
"882","MBP",0.862793095906574,26.2869386672974,2.96786401946121,0.0126076776879444,0.407482103231039,-2.85041802872681
"210","DDOST",-0.441222127278644,20.9748517354329,-2.91718166899273,0.0138120897934935,0.407482103231039,-2.90763440286531
"35","MPST",0.478253555297848,18.128207842509,2.90213106389057,0.0141914849574976,0.407482103231039,-2.92466236440333
"866","MAOB",0.576551310221356,22.8286762237549,2.8993852214163,0.0142618192135182,0.407482103231039,-2.92777068957126
"82","RRAGA;RRAGB",-0.397731272379559,19.0680494944255,-2.89095540593632,0.0144799343935796,0.407482103231039,-2.93731660512432
"698","HIST1H1C;HIST1H1E;HIST1H1D;HIST1H1T;HIST1H1A",0.524040095011392,21.3277060826619,2.87707265393231,0.0148464372616683,0.407482103231039,-2.95304793633511
"184","NCL",-0.473320770263672,20.0508471171061,-2.86914489933425,0.0150598746611722,0.407482103231039,-2.96203703713378
"550","FBXO2",-0.522694651285808,23.4631980895996,-2.86659418935984,0.0151291969043906,0.407482103231039,-2.96493009288064
"739","LGALS3BP",0.427612940470378,20.7580811182658,2.85233185217568,0.0155227294451584,0.407482103231039,-2.98111423080186
"745","PDIA6",-0.392934290568041,22.0274785995483,-2.85216960250006,0.0155272646214186,0.407482103231039,-2.98129841571915
"398","CTSL",1.64122123718262,20.6230966567993,2.83971970304933,0.0158792360449563,0.407482103231039,-2.99543621635318
"126","NARS",-0.997735341389972,19.6387790679932,-2.82799320430818,0.0162180333572352,0.407482103231039,-3.0087608937929
"451","RARS",-0.531165695190431,21.5483176549276,-2.82575952442552,0.0162833806849462,0.407482103231039,-3.01129988998584
"406","CD59",0.417955398559568,21.9260077794393,2.81319513343809,0.0166558787228616,0.407482103231039,-3.02558684618134
"659","ERP44",-1.1171147664388,20.3934599558512,-2.77840792066207,0.0177320897750802,0.407482103231039,-3.06518652776488
"534","VAT1L",0.384656906127927,22.5300247828166,2.77457899067832,0.017854693347285,0.407482103231039,-3.06954878262612
"387","PMP2",0.760723495483401,21.461101214091,2.77207072620871,0.0179354653421744,0.407482103231039,-3.07240678756445
"646","ASRGL1",0.604921213785806,21.5504755655924,2.76202448729889,0.0182626347166,0.407482103231039,-3.08385668341804
"817","DNAJC6",-0.336956405639649,20.855240948995,-2.7593901350054,0.0183494030050448,0.407482103231039,-3.08685984625388
"385","SERPINA1",-1.82318445841472,21.2232167561849,-2.75658656927851,0.0184421945925617,0.407482103231039,-3.09005624217461
"230","COPA",-0.60844357808431,19.924365679423,-2.7550255910079,0.0184940612375042,0.407482103231039,-3.0918360874195
"392","CHGB",0.445543416341148,19.028458404541,2.74613821460082,0.0187921343118141,0.407482103231039,-3.10197152000381
"84","TMED7",-0.863283665974935,20.2786681493123,-2.74434035755291,0.018853010033823,0.407482103231039,-3.10402224479834
"342","STOML2",-0.355581537882489,19.2680293401082,-2.7283992765571,0.0194014091537399,0.41001644678237,-3.12221097787182
"699","GJA1",0.588232549031576,21.9953983942668,2.70233561301254,0.0203323077867943,0.420348363157421,-3.15196936574232
"106","PDE10A",-0.737562815348305,19.104104868571,-2.69020169224623,0.0207806472297686,0.420476500329999,-3.16583087102559
"937","GLUD1;GLUD2",-0.364346822102863,26.2675174713135,-2.6493933265755,0.0223614207775894,0.431431934677473,-3.21247826595178
"864","SCG2",0.419450759887695,24.2419057846069,2.64525619162263,0.0225281614336146,0.431431934677473,-3.21720945702271
"865","VARS",-0.62660369873047,21.9981577555339,-2.64143968987133,0.0226830670177431,0.431431934677473,-3.22157426242857
"730","RPS8",-0.3394406636556,21.6272365570068,-2.62802310983662,0.0232360077983787,0.43292017114911,-3.23692036162912
"891","CKAP4",-0.793185679117841,22.4370807647705,-2.61630743915027,0.023729699842542,0.43292017114911,-3.25032316481362
"290","PREPL",-0.461426417032877,19.143458366394,-2.60703333901156,0.0241278187078534,0.43292017114911,-3.26093401516851
"533","CACYBP",-0.462378184000651,21.4100214640299,-2.58586222224103,0.0250614456215692,0.43292017114911,-3.28515968363613
"116","DDX3X;DDX3Y",-0.411606089274089,20.2720549265544,-2.5518717814987,0.0266351497505621,0.43292017114911,-3.32405819106773
"602","PTPRZ1",0.481637064615886,21.7227982838949,2.54449003530316,0.0269895175835052,0.43292017114911,-3.33250571073351
"63","SNRPD3",-0.74227523803711,19.3087052663167,-2.54325700505865,0.0270491591706216,0.43292017114911,-3.33391674300582
"704","CALB2",0.889207077026368,22.0660670598348,2.52961528547719,0.0277176869351717,0.43292017114911,-3.34952718897311
"928","CNP",0.666331227620442,25.4899181365967,2.51445141814738,0.0284798023480569,0.43292017114911,-3.3668775959352
"501","MIA3",-1.12969881693522,20.2956747055054,-2.50594108010867,0.0289164616206191,0.43292017114911,-3.37661390499312
"409","ARSB",-0.970524215698244,21.8624406814575,-2.50102880675801,0.029171478911346,0.43292017114911,-3.38223336252544
"779","NCAM1",0.361350758870444,24.7322942097982,2.49782155103128,0.0293391659080649,0.43292017114911,-3.38590214290915
"419","GPD1",1.36558354695638,21.9566357930501,2.4922136537813,0.0296346326270088,0.43292017114911,-3.3923166080682
"702","PCMT1",0.477537663777672,22.2416489283244,2.48025196724232,0.0302746060051125,0.43292017114911,-3.40599678321379
"300","ST13P4;ST13;ST13P5",-0.647524007161456,21.9265502929687,-2.47749793907716,0.0304238510532668,0.43292017114911,-3.40914606502092
"924","PDIA3",-0.41590690612793,24.4045621871948,-2.463302875819,0.0312045562488447,0.43292017114911,-3.42537566613352
"445","FXR1",-0.454025395711262,21.0074126561483,-2.45755149243213,0.0315264012338485,0.43292017114911,-3.43194997156971
"202","MARCKS",0.625158055623374,21.5208351771037,2.44925252659066,0.0319965131614046,0.43292017114911,-3.44143479967027
"631","HBA1",-1.08221257527669,27.7042549133301,-2.43699428623897,0.0327034121355787,0.43292017114911,-3.45544096043109
"351","GDA",0.732978693644204,20.9778454462687,2.42143125227936,0.0336227981539215,0.43292017114911,-3.47321611010684
"157","GNAI2",0.440147654215498,21.2631829579671,2.40781554884419,0.0344476987649088,0.43292017114911,-3.48875994050379
"470","TMSB4X",0.54151980082194,23.4143210728963,2.38942538520352,0.0355930892891104,0.43292017114911,-3.509742414084
"89","NRCAM",0.522673034667969,18.8991729736328,2.3859851647461,0.0358114163553351,0.43292017114911,-3.51366593000211
"670","CTSZ",0.618782043457034,22.990342203776,2.38068332720248,0.0361504295956331,0.43292017114911,-3.51971151754117
"814","PSAT1",0.386698913574218,21.8753924051921,2.37796567205697,0.036325406151821,0.43292017114911,-3.52280989361818
"477","GNAI1",0.431309763590492,19.4155829111735,2.37589710997436,0.0364591400172812,0.43292017114911,-3.5251680050564
